Period,Altman Z-Score
1110,26.4522471
1111,51.58056606
1112,54.59763442
1113,59.1415785
1114,19.56142957
1115,43.15564866
1116,21.75528837
1117,27.99322194
1118,27.69471395
1119,28.29819753
1120,23.38275177
1121,31.09990362
1122,57.97183502
1123,39.93111456
1124,30.55485782
1125,50.62889114
1126,51.5199049
1127,33.14761639
1128,18.22108472
1129,39.33402802
1130,22.37275771
1131,23.54773364
1132,25.77979618
1133,12.97891847
1134,21.16204376
1135,18.35703463
1136,60.33687332
1137,75.82272736
1138,26.31513874
1139,71.16819163
1140,69.45855892
1141,43.36473069
1142,16.4026095
1143,20.6529922
1144,14.3025536
1145,26.48927301
1146,10.15080978
1147,47.75873389
1148,14.54925292
1149,22.88075693
1150,11.63394245
1151,45.38681202
1152,70.72571012
1153,25.59752742
1154,82.16684383
1155,78.91938425
1156,61.5394006
1157,18.48700087
1158,18.36211092
1159,14.16955761
1160,27.18441271
1161,12.36017689
1162,37.26558071
1163,87.73687719
1164,39.63279953
1165,27.2856708
1166,33.68954864
1167,30.31595166
1168,121.835082
1169,30.89982249
1170,27.78377078
1171,38.95681747
1172,12.365571
1173,168.2777811
1174,37.60210263
1175,28.13290297
1176,38.47668325
1177,19.00132973
1178,18.553898
1179,14.6368789
1180,16.90034459
1181,48.26356159
1182,32.57181307
1183,20.8371717
1184,50.93488311
1185,24.96252558
1186,20.41779486
1187,24.46243512
1188,26.0263329
1189,25.79976004
1190,16.09209199
1191,53.95114027
1192,57.60897344
1193,15.75816975
1194,16.37164554
1195,26.04160296
1196,23.82500479
1197,20.94037249
1198,11.94219083
1199,19.51949065
1200,9.583107278
1201,12.92715087
1202,14.70877786
1203,18.07804161
1204,11.03466261
1205,25.82811181
1206,14.50580103
1207,12.04981674
1208,17.20099097
1209,13.25015257
1210,14.54488389
1211,13.66160369
1212,13.9265383
1213,19.09949046
1214,19.50179953
1215,13.28159462
1216,18.67601989
1217,29.62621761
1218,34.17501996
1219,18.50880192
1220,45.39063183
1221,23.23957973
1222,16.96532681
1223,19.077811
1224,25.21445594
1225,23.60945519
1226,18.0126415
1227,34.17865786
1228,24.45282892
1229,48.56362365
1230,14.06564794
1231,16.09421074
1232,25.65628609
1233,20.92444476
1234,22.16246484
1235,11.92423968
1236,18.14976626
1237,10.17584262
1238,10.82151681
1239,14.14607284
1240,17.35751383
1241,13.28007105
1242,23.4980572
1243,14.2885321
1244,11.70545629
1245,16.57531881
1246,12.74099085
1247,13.91310748
1248,15.50622617
1249,32.73399711
1250,33.58272516
1251,18.13391805
1252,33.69624361
1253,25.28677155
1254,18.13766305
1255,16.63678853
1256,26.97268343
1257,26.49676111
1258,22.99560941
1259,29.92126829
1260,28.36642758
1261,39.67166673
1262,15.72634896
1263,16.84363616
1264,26.00079434
1265,20.94537839
1266,16.64875257
1267,11.89981866
1268,21.52778169
1269,9.480759905
1270,12.84734356
1271,14.18253833
1272,18.3035194
1273,12.36055505
1274,29.57668478
1275,14.29939409
1276,14.08438001
1277,19.54134277
1278,13.22035195
1279,15.2703393
1280,28.61326502
1281,23.42478766
1282,46.33622873
1283,17.29878804
1284,46.80932762
1285,21.57346624
1286,19.07423845
1287,14.52755066
1288,29.41395622
1289,28.50335942
1290,20.01546142
1291,44.77019941
1292,22.79796122
1293,77.36800101
1294,13.22439603
1295,20.86660029
1296,19.86662802
1297,22.12496857
1298,18.28395831
1299,11.27082404
1300,19.77183385
1301,9.255364327
1302,12.76463483
1303,13.92615221
1304,20.65071039
1305,11.6008853
1306,16.84764871
1307,14.51797131
1308,17.11791984
1309,15.62749032
1310,12.2694926
1311,21.83079842
1312,12.27587844
1313,20.17414961
1314,55.01216671
1315,30.8358878
1316,36.36959645
1317,20.92479236
1318,28.5191324
1319,14.37779288
1320,36.71083801
1321,22.74738532
1322,17.517678
1323,40.77254784
1324,19.70056208
1325,63.41138359
1326,17.80689432
1327,20.37542367
1328,18.16324122
1329,25.32301235
1330,24.43576853
1331,12.51630764
1332,14.31633023
1333,9.414506554
1334,19.83199134
1335,19.80460116
1336,24.63594017
1337,20.45113092
1338,38.84366551
1339,16.50583924
1340,15.73080527
1341,14.35826209
1342,16.61407241
1343,11.49586847
1344,13.18684853
1345,16.47782528
1346,21.60434037
1347,42.61490279
1348,48.38817694
1349,49.44542202
1350,31.04513425
1351,35.77745471
1352,63.49813487
1353,40.43706296
1354,25.93488006
1355,34.89188701
1356,37.89592235
1357,24.12289349
1358,25.17610416
1359,16.79544194
1360,13.66616413
1361,42.77072829
1362,17.52758821
1363,13.68331001
1364,37.28560734
1365,34.84492585
1366,24.28428183
1367,108.5176311
1368,22.58118802
1369,60.32819411
1370,28.41642317
1371,17.14063386
1372,34.08185149
1373,10.71992188
1374,349.2510575
1375,45.4855328
1376,59.33264498
1377,41.42976768
1378,9.953422484
1379,182.0885544
1380,33.22414287
1381,30.06034601
1382,173.7134588
1383,15.68086658
1384,13.19844436
1385,34.01667151
1386,19.53749346
1387,51.90002614
1388,149.8084763
1389,18.98835762
1390,29.67766855
1391,57.39167368
1392,12.39521046
1393,19.58188801
1394,29.04002719
1395,14.51340484
1396,10.70279284
1397,45.99864912
1398,54.49421744
1399,81.91398051
1400,9.320819788
1401,43.61010653
1402,28.97497782
1403,18.2553842
1404,142.9203708
1405,22.80495329
1406,36.12600381
1407,153.6733833
1408,30.94555073
1409,58.60273082
1410,19.29291036
1411,66.49720942
1412,7.592928738
1413,38.87127001
1414,44.03853725
1415,57.82427324
1416,70.44345235
1417,10.12765838
1418,16.98605152
1419,23.55376358
1420,41.75732009
1421,13.22716285
1422,17.29302759
1423,28.51436815
1424,24.50380623
1425,11.14392105
1426,73.11209386
1427,34.58701535
1428,206.2928789
1429,36.14600337
1430,666.5598029
1431,16.24539614
1432,18.37290146
1433,51.08957796
1434,22.59190589
1435,55.5620797
1436,121.7203882
1437,32.3258026
1438,52.65093143
1439,21.38346206
1440,20.85346836
1441,172.1048107
1442,39.50122772
1443,15.48977212
1444,46.38781343
1445,15.90962069
1446,10.03626401
1447,27.15573254
1448,24.24671103
1449,29.22342804
1450,19.21752225
1451,12.2473791
1452,91.63330014
1453,17.45682984
1454,61.58510049
1455,62.38280047
1456,50.34053361
1457,49.13062755
1458,24.64236995
1459,42.04555376
1460,14.11712319
1461,449.3924175
1462,27.97852889
1463,68.44574381
1464,35.30908936
1465,13.43598249
1466,37.39192387
1467,38.73780313
1468,50.04791532
1469,37.14015773
1470,11.99819412
1471,22.26961971
1472,42.81950559
1473,101.1560531
1474,13.89902212
1475,35.18095394
1476,15.81638853
1477,133.6864689
1478,51.6267488
1479,21.96757949
1480,26.41686431
1481,9.745967251
1482,29.39151024
1483,61.57512445
1484,25.59084015
1485,13.01308772
1486,39.11766954
1487,30.03552985
1488,74.03511815
1489,13.30668539
1490,27.27883678
1491,17.79626985
1492,22.19652696
1493,25.85225375
1494,271.6595562
1495,19.84390583
1496,27.74283308
1497,250.9097868
1498,24.63101064
1499,77.35720812
1500,16.77349901
1501,68.37173917
1502,7.741833452
1503,70.44741203
1504,23.01914732
1505,59.96935492
1506,58.22375604
1507,10.02655954
1508,25.51228133
1509,19.67196925
1510,23.5467956
1511,20.61227871
1512,18.78175029
1513,19.49544655
1514,19.88664686
1515,12.38981038
1516,58.63111251
1517,36.98486695
1518,18.83157364
1519,174.9250448
1520,26.92394778
1521,161.0310062
1522,14.38951541
1523,16.9175989
1524,36.00923025
1525,24.2148218
1526,48.03586048
1527,150.8554827
1528,82.24134969
1529,65.58865798
1530,20.25280302
1531,15.32286044
1532,16.74945658
1533,30.93043133
1534,7.654271672
1535,23.3107218
1536,18.29710103
1537,22.64173845
1538,14.09857047
1539,46.56362239
1540,21.35945651
1541,62.00367998
1542,38.87111355
1543,48.57185705
1544,25.06773467
1545,19.12524302
1546,34.07009294
1547,13.04679814
1548,349.5530824
1549,27.29091799
1550,44.47960781
1551,188.4962569
1552,52.29589563
1553,43.55349592
1554,14.30533334
1555,28.42984359
1556,65.21425404
1557,41.91547292
1558,242.3780761
1559,15.12091564
1560,16.25862202
1561,66.15825757
1562,125.7592155
1563,14.71009225
1564,27.43782317
1565,16.99093099
1566,432.2926238
1567,5.229483206
1568,101.9972104
1569,10.56454734
1570,10.20779614
1571,13.62526873
1572,29.5434699
1573,9.773445081
1574,13.10675145
1575,72.64293998
1576,7.582752126
1577,21.60081692
1578,20.30592283
1579,558.038402
1580,14.80871645
1581,90.72127772
1582,21.42161683
1583,24.20161243
1584,13.58068122
1585,27.7736255
1586,100.9309699
1587,31.26878241
